id,gloss
W03333,thuốc bắc
W03334,thuốc bổ
W03335,thuốc lá
W03840,viện bảo tàng
W03841,viện nghiên cứu
W03819,vệ sinh cá nhân
W03965,xe cứu thương
D0356,đau bụng
D0358,đau chân
D0355,đau mắt
D0446,đau mắt đỏ
D0359,đau tai
D0357,đau tay
D0486,đi vệ sinh
W01142,đầu hàng
W02567,ốm đau
W02196,mấy giờ?
W02761,quá cảnh
W02852,rẽ phải
D0126,sợ không?
W03095,tay phải
W03418,tiếp theo
D0371,đói không?
W00161,báo cáo
W00393,bưu tá
W00103,bản sao (chỉ người)
W00153,bảo hiểm
W00719,chứng minh
W00720,chứng nhận
W00795,con tem
W04061,công văn
W01438,giải quyết
W01474,giấy tờ
W01543,hàng đơn vị
W01669,học phí
D0367,hội chứng Đao - Down
W01785,khẩu hiệu
D0314,lãng phí
W02362,nghỉ hưu
W02348,ngân hàng
D0145,quả bầu hồ lô
W03787,văn bản
W01126,đăng ký
W03750,ủy ban
W037511,ủy ban nhân dân
W00884,cơm
D0456,muối
W02835,rau
W01519,gửi
W02485,nhận
W01314,đỡ
W00377,buồng trứng
W00127,bánh bột lọc
D0393,bánh canh
W00128,bánh cốm
W00133,bánh gai
W00135,bánh giò
W00134,bánh giầy
D0391,bánh hamburger
W00140,bánh pizza
W00141,bánh pía
D0392,bánh sandwich
D0110,bánh tráng
W00144,bánh xe
W00131,bánh đa
W00132,bánh đúc
W00083,bãi đỗ xe (ô tô)
D0461,bình sữa (em bé)
W00231,bể cá
W00305,bỏng
W00362,bụng
W00385,bữa cơm
D0402,chanh muối
D0090,cháo sườn
D0074,cá kiếm
W00601,cá mập
D0073,cá voi
W00877,cơm hộp
D0091,cơm rang
W00814,cổ
D0311,dân tộc Thái
W00993,dầu ăn
W01377,gan
W01394,gắp thức ăn
W01676,họng
W01704,hộp sữa
W01774,khát nước
W01775,khát vọng
W02039,lông
W02080,lưỡi
W01725,muối i-ốt
W02144,má
W02177,mâm cơm
W02235,môi
W02166,mặt
W02262,mớ rau
D0457,nước mắm
W03728,nước tương (xì dầu)
D0395,"nước ép (cam, cà chua,..)"
W02534,nồi cơm điện
W02693,phổi
W02836,rau bắp cải
W02837,rau cải
W02839,rau cải thảo
D0329,rau diếp cá
W02841,rau dền
W02844,rau mùng tơi
W02845,rau ngót
W02851,râu
W02848,răng
W02958,sinh tố
D0397,"sinh tố (bơ, dâu,..)"
W03008,sốt
W03039,sữa đặc
W03214,thận
W03431,tim
D0405,trà sữa
W03767,vai
D0389,vịt quay
W02558,ô ăn quan
D0338,ăn bám
D0600,ăn cóc
W00039,ăn diện
W00040,ăn hối lộ
W00042,ăn uống
D0172,ăn vú sữa
D0171,ăn vú sữa (bằng thìa)
W00043,ăn vặt
D0257,ăn vụng
D0441,ăn vừa
W00044,ăn xin
D0442,ăn ít
D0440,ăn đủ
D0075,đuôi cá
D0443,đồ uống
D0444,đồ ăn
W00053,ấm no
W00564,chỉ
D0124,kia
W02237,mỗi
W01730,ít
D0141,bạn yêu bạn ấy
D0138,bạn yêu tôi
D0142,bạn ấy yêu bạn
D0140,bạn ấy yêu tôi
W00354,bớt đi
W00700,chuyển giao
W00701,chuyển hướng
W00694,chuyển đồ
W00731,coi thường
W00736,con bướm
W00740,con chồn
W00749,con cua
W00745,con cò
W00746,con cóc
W00750,con cú mèo
W00751,con cừu
W00752,con dâu
W00753,con dê
W00754,con dế
W00762,con ghẹ
W00763,con gián
W00759,con gà
W00760,con gái
W00761,con gấu
D0387,con hàu
W00766,con hươu
W00767,con khỉ
W00771,con lươn
W00774,con mực
W00775,con nai
W00779,con nhím
W00786,con ruồi
W00784,con rắn
W00788,con sâu
W00789,con sò
W00790,con sóc
W00791,con sói
W00792,con sông
W00796,con thỏ
W00800,con trỏ
D0449,con vượn
W00801,con vẹt
W00802,con vịt
W00756,con đom đóm
W00755,con đẻ
W00782,con ốc
W00811,cô đơn
W00843,công nhận
W01029,di chuyển
W01024,dê con
D0183,dừng lại
D0255,giám sát
W01395,gặp gỡ
W01520,gửi quà
W01522,gửi thư
W01552,hàng xóm
W01716,hút nước
W01766,khai mạc
W01750,kết bạn
W01751,kết hợp
D0483,kết luận
W01999,liên kết
W01953,lăng Bác Hồ
D0179,ngừng lại
W02441,nhà bác học
W02486,nhận thức
W02487,nhận xét
W02710,phun nước
W02701,phủ nhận
W02778,quay cóp
