id,gloss
D0366,bệnh phong/cùi
D03671,bệnh Đao - Down
W02196,mấy giờ?
D0126,sợ không?
D0371,đói không?
W00103,bản sao (chỉ người)
D0367,hội chứng Đao - Down
W00083,bãi đỗ xe (ô tô)
D0461,bình sữa (em bé)
W01725,muối i-ốt
W03728,nước tương (xì dầu)
D0395,"nước ép (cam, cà chua,..)"
D0397,"sinh tố (bơ, dâu,..)"
D0171,ăn vú sữa (bằng thìa)
W00147,bao nhiêu?
D0130,chúng tôi (2 người) (đại từ)
D0131,chúng tôi (3 người) (đại từ)
D0132,chúng tôi (4 người) (đại từ)
D0133,chúng tôi (5 người) (đại từ)
D0134,chúng tôi (đại từ)
D0121,còn bạn?
D0098,có … không?
D0166,cùng / với (giới từ)
D0118,cũng vậy/cũng thế
D0136,họ (2 người) (đại từ)
D0137,họ (đại từ)
D0370,mệt không?
W01173,để (đặt)
D0233,quan (chức vụ)
D0303,đất nước bị chia cắt (Việt Nam)
W00108,bán kính (hình tròn)
D0185,kẹt xe/tắc đường
D0378,gỏi/nộm
W00150,bao tay (dùng cho trẻ sơ sinh)
W03370,thương (số)
W03903,vùng vẫy (dành cho người)
D0161,về 4 (từ nơi khác về)
W004152,cao (nhà)
W004153,cao (núi)
W004151,cao (vật)
W01864,ki-lô-gam
W01170,đẹp đẽ (như đẹp)
W01183,đề-xi-mét vuông (dm<sup>2</sup>)
W01509,gói (đgt)
W01865,ki-lô-mét vuông (km<sup>2</sup>)
W02197,mét (m)
W02199,mét vuông (m<sup>2</sup>)
D0251,"đi lạc (đường, rừng..)"
W00176,bay liệng (bay lượn)
W01810,khoá (cái khóa)
D0186,suy ra (Toán học)
W03201,thẳng hàng (Toán học)
W01580,hét (giống la)
W02202,mê say (như: say mê)
W02500,nhỏ/ nhỏ bé
D0328,lượt về (trong thể thao)
W03525,trả (đt)
D0160,về 3 (đi về)
D0162,về 5 (về nhà)
W01964,lầu (tầng)
D0215,Ô-lim-píc
W01103,đàn tơ-rưng
D0266,hên/gặp may
D0299,2 < 5 (Toán học)
D0181,2 < 6 (Toán học)
D0180,5 > 3 (Toán học)
W00412,cạnh bên (toán)
W01595,hiệu (Toán học)
W02556,Oa-sinh-tơn
W03110,tập hợp (Toán học)
W04031,Y-Éc-Xanh
D0424,đôi/cặp
D0012,Albania (nước Albania)
W00360,Bun-ga-ri (nước Bun-ga-ri)
W00193,Băng-la-đét (nước Băng-la-đét)
W00887,Cu ba (nước Cu ba)
W00829,Cô-lôm-bi-a (nước Cô-lôm-bi-a)
W01726,I-rắc (nước I-rắc)
W01733,Italia (nước Italia)
W02582,Pa-ki-xtan (nước Pa-ki-xtan)
W02583,Pê-ru (nước Pê-ru)
W03536,tràn ngập (nước)
W01360,Ê-ti-ô-pi-a (nước Ê-ti-ô-pi-a)
W01288,Đông Timor (nước Đông Timor)
D0008,Ả Rập (nước Ả Rập)
W00349,bơm (cái bơm)
W01883,kiên trì (giống: kiên nhẫn)
W01879,kiếm (cái kiếm)
W02208,mi-li-mét (mm)
D0459,nghênh nghênh (đầu)
D0222,nứt nẻ (ruộng)
W03390,tích (số)
W03502,tổng (số)
W03568,tự (tự làm)
W03864,võng (cái võng)
W03950,xăng-ti-mét-khối (cm<sup>3</sup>)
W01175,đề-ca-mét (dam)
W01181,đề-xi-mét (dm)
W01182,đề-xi-mét khối (dm<sup>3</sup>)
